city_name,description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,276,172,"2018-10-28 16:07:09.589000"
Guimaraes,"stationary traffic",,"Rua De Cam?es (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,286,165,"2018-10-28 15:47:09.518000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,276,179,"2018-10-28 15:47:09.518000"
Guimaraes,"stationary traffic",,"Rua Capitão Alfredo Guimarães","Rua de São Torcato",N207-4,Jam,Major,502,223,"2018-10-28 15:27:09.455000"
Guimaraes,"stationary traffic",,"Rua Serpa Pinto (N101)","Largo Da República Do Brasil (N101)",N101,Jam,Major,304,201,"2018-10-28 15:27:09.455000"
Guimaraes,"stationary traffic",,"Rua Padre António Caldas (N101)","Rua de São Torcato",,Jam,Major,236,131,"2018-10-28 15:27:09.455000"
Guimaraes,"stationary traffic",,"Rua Padre António Caldas (N101)","Rua de São Torcato",,Jam,Major,236,131,"2018-10-28 15:07:09.599000"
Guimaraes,"stationary traffic",,"Rua Joaquim de Meira","Rua Doutor Agostinho Barbosa / Rua Trinas",,Jam,Major,205,186,"2018-10-28 12:27:09.501000"
Guimaraes,"stationary traffic",,"Praça Cidade Igualada / Rua Dom Cristovão de São Boaventura","Rua Calouste Gulbenkian / Rua Professor Egas Moniz",,Jam,Major,205,203,"2018-10-28 12:27:09.501000"
Guimaraes,"queuing traffic",,"Rua Joaquim de Meira","Rua Doutor Agostinho Barbosa / Rua Trinas",,Jam,Moderate,264,151,"2018-10-28 12:07:09.522000"
Guimaraes,"stationary traffic",,"Rua Padre António Caldas (N101)","Rua de São Torcato",,Jam,Major,236,233,"2018-10-28 12:07:09.522000"
Guimaraes,"stationary traffic",,"Rua Dona Teresa","Rua Dona Teresa",N207-4,Jam,Major,381,167,"2018-10-28 12:07:09.522000"
Guimaraes,"stationary traffic",,"Rua de São Torcato","Rua Padre António Caldas (N101)",,Jam,Major,241,147,"2018-10-28 10:47:12.106000"
Guimaraes,"stationary traffic",,"N206 (N105)","Rua De Angola (N105)",N105,Jam,Major,527,115,"2018-10-28 03:27:09.463000"
Guimaraes,"slow traffic",,"N206 (N105)","Rua De Angola (N105)",N105,Jam,Minor,527,44,"2018-10-28 03:07:09.427000"
